"filename", "language", "C", "C++", "Makefile", "Batch", "Visual Basic", "comment", "blank", "total"
"c:\Users\jermu\Documents\3DS\BartBash\Makefile", "Makefile", 0, 0, 118, 0, 0, 69, 46, 233
"c:\Users\jermu\Documents\3DS\BartBash\gfx\Barts\addsprites.vbs", "Visual Basic", 0, 0, 0, 0, 22, 8, 11, 41
"c:\Users\jermu\Documents\3DS\BartBash\gfx\Barts\makesprites.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jermu\Documents\3DS\BartBash\gfx\Logo\makesprites.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jermu\Documents\3DS\BartBash\gfx\UI\makesprites.bat", "Batch", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\jermu\Documents\3DS\BartBash\source\animatePaint.cpp", "C++", 0, 40, 0, 0, 0, 6, 13, 59
"c:\Users\jermu\Documents\3DS\BartBash\source\animatePaint.h", "C++", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\jermu\Documents\3DS\BartBash\source\audio_manager.cpp", "C++", 0, 160, 0, 0, 0, 2, 25, 187
"c:\Users\jermu\Documents\3DS\BartBash\source\audio_manager.h", "C++", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\jermu\Documents\3DS\BartBash\source\bart.cpp", "C++", 0, 389, 0, 0, 0, 10, 51, 450
"c:\Users\jermu\Documents\3DS\BartBash\source\bart.h", "C++", 0, 63, 0, 0, 0, 0, 8, 71
"c:\Users\jermu\Documents\3DS\BartBash\source\collision_listener.cpp", "C++", 0, 34, 0, 0, 0, 0, 4, 38
"c:\Users\jermu\Documents\3DS\BartBash\source\collision_listener.h", "C++", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\jermu\Documents\3DS\BartBash\source\delta_time.cpp", "C++", 0, 17, 0, 0, 0, 1, 5, 23
"c:\Users\jermu\Documents\3DS\BartBash\source\delta_time.h", "C", 5, 0, 0, 0, 0, 1, 2, 8
"c:\Users\jermu\Documents\3DS\BartBash\source\globals.h", "C++", 0, 11, 0, 0, 0, 1, 3, 15
"c:\Users\jermu\Documents\3DS\BartBash\source\include.h", "C", 23, 0, 0, 0, 0, 2, 3, 28
"c:\Users\jermu\Documents\3DS\BartBash\source\main.cpp", "C++", 0, 332, 0, 0, 0, 5, 53, 390
"c:\Users\jermu\Documents\3DS\BartBash\source\physics_manager.cpp", "C++", 0, 97, 0, 0, 0, 9, 32, 138
"c:\Users\jermu\Documents\3DS\BartBash\source\physics_manager.h", "C++", 0, 12, 0, 0, 0, 0, 5, 17
"c:\Users\jermu\Documents\3DS\BartBash\source\scene_manager.cpp", "C++", 0, 46, 0, 0, 0, 10, 8, 64
"c:\Users\jermu\Documents\3DS\BartBash\source\scene_manager.h", "C", 34, 0, 0, 0, 0, 2, 7, 43
"c:\Users\jermu\Documents\3DS\BartBash\source\sprite_manager.cpp", "C++", 0, 36, 0, 0, 0, 0, 6, 42
"c:\Users\jermu\Documents\3DS\BartBash\source\sprite_manager.h", "C", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\jermu\Documents\3DS\BartBash\source\ui_button.cpp", "C++", 0, 70, 0, 0, 0, 2, 12, 84
"c:\Users\jermu\Documents\3DS\BartBash\source\ui_button.h", "C", 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jermu\Documents\3DS\BartBash\source\ui_text.cpp", "C++", 0, 42, 0, 0, 0, 1, 9, 52
"c:\Users\jermu\Documents\3DS\BartBash\source\ui_text.h", "C++", 0, 18, 0, 0, 0, 4, 8, 30
"Total", "-", 98, 1387, 118, 3, 22, 133, 326, 2087
